hemi,GA,nodes,tets,qbar,qmax
left,30.71,196099,1086968,0.1287,0.5144
left,30.86,209106,1161717,0.1290,0.5283
left,31.00,193114,1069016,0.1290,0.5225
left,31.00,276016,1531238,0.1289,0.5091
left,31.14,226608,1264686,0.1286,0.5171
left,31.29,210906,1174462,0.1287,0.5066
left,31.29,187496,1035129,0.1290,0.5443
left,31.29,256529,1431020,0.1287,0.5232
left,31.29,239504,1338409,0.1289,0.5373
left,31.43,244644,1366756,0.1286,0.5048
left,31.43,223582,1231166,0.1288,0.5036
left,31.43,212786,1177497,0.1287,0.4952
left,31.86,224163,1238283,0.1283,0.5012
left,31.86,236015,1313186,0.1286,0.4963
left,31.86,234795,1304758,0.1292,0.5223
left,31.86,240455,1338404,0.1286,0.5300
left,32.00,227981,1258907,0.1289,0.5058
left,32.00,202862,1117754,0.1285,0.5089
left,32.00,216805,1200734,0.1290,0.5180
left,32.00,214757,1186789,0.1288,0.5241
left,32.00,243134,1349473,0.1289,0.5123
left,32.14,255502,1422847,0.1286,0.5243
left,32.14,220614,1218134,0.1294,0.4933
left,32.14,232345,1292311,0.1287,0.5108
left,32.14,248220,1370993,0.1290,0.5395
left,32.29,244230,1346215,0.1287,0.5287
left,32.29,238638,1321518,0.1288,0.5124
left,32.29,285498,1588920,0.1285,0.4928
left,32.29,231223,1275007,0.1292,0.5086
left,32.71,245226,1356165,0.1287,0.5011
left,32.86,254156,1401216,0.1287,0.5042
left,33.00,249127,1374064,0.1288,0.4968
left,33.00,273537,1508579,0.1287,0.5392
left,33.00,281400,1557866,0.1288,0.5157
left,33.14,271837,1500352,0.1291,0.5075
left,33.14,241459,1325288,0.1287,0.5122
left,33.29,287390,1591086,0.1289,0.5302
left,33.29,268356,1477164,0.1290,0.5091
left,33.43,253630,1398586,0.1291,0.5100
left,33.43,293554,1620267,0.1289,0.5388
left,33.57,264680,1458186,0.1287,0.5029
left,33.57,277707,1527732,0.1288,0.5362
left,33.57,283108,1566326,0.1288,0.5157
left,33.71,283950,1555414,0.1288,0.5292
left,33.71,261009,1441561,0.1289,0.5378
left,33.86,290248,1604834,0.1289,0.5231
left,34.57,267895,1468232,0.1287,0.4974
left,34.57,224533,1223089,0.1291,0.5352
left,34.57,280760,1540380,0.1288,0.5080
left,34.57,276533,1518190,0.1289,0.4861
left,34.71,266368,1455300,0.1292,0.5281
left,34.86,295640,1623746,0.1287,0.5060
left,35.00,283255,1554322,0.1290,0.5319
left,35.14,278600,1533155,0.1288,0.5381
left,35.29,288650,1577611,0.1291,0.5071
left,35.29,279249,1532916,0.1288,0.4992
left,35.29,265959,1446146,0.1291,0.5060
left,35.43,349187,1920376,0.1287,0.5092
left,35.86,380562,2098394,0.1292,0.5124
left,36.00,338755,1859657,0.1288,0.5274
left,36.00,299778,1638399,0.1291,0.5174
left,36.14,288849,1576438,0.1288,0.4975
left,36.43,270924,1494025,0.1289,0.5266
left,36.71,335707,1829324,0.1292,0.5035
left,37.14,342749,1876275,0.1290,0.5158
left,37.29,334806,1825420,0.1293,0.5361
left,37.43,385150,2114138,0.1292,0.5182
left,37.57,356579,1952547,0.1289,0.5110
left,38.00,361780,1973830,0.1290,0.5240
left,38.29,335927,1830256,0.1293,0.5175
